ablation,policy,predicted_latency_ms,fairness,service_continuity_utility,energy_use_j,capacity_utilization,constraint_violation_count,input_hash,random_seed
full,twin_informed,88.00333215976775,0.9999999999999968,0.8239933356804645,39.40016716219948,1.0,0,c62837e8497d3022819ab86d334ff0f315aa343d14748c2f21a3db731e148804,0
no_edge_observations,twin_informed,0.0,0.9999999999999968,1.0,35.00000055421109,1.0,0,4293e0b1f8720363dbe4e7ea20026275d98667de54a620623344284e06fb532d,0
no_twin_context,twin_informed,88.00333215976775,0.9999999999999968,0.8239933356804645,39.40016716219948,1.0,0,21df39cc8aefa5dd9211d7bb287bb2cefc2f4d742e1deefac72ed7ea3a3784fb,0
no_service_continuity_objective,twin_informed,88.00333215976775,0.9999999999999968,0.8239933356804645,39.40016716219948,1.0,0,00af1a1e1e2dc17273e4dda752c5edd5c4173efe33d899de907ae3b248ca0618,0
no_fairness_constraint,twin_informed,88.00333123076923,1.0,0.8239933375384616,39.40016656153846,1.0,0,61b307e9a7728e69cedf1f2a5b85d27f3937cceb460d51e814062d9162ec468a,0
no_energy_constraint,twin_informed,88.00333215976775,0.9999999999999968,0.8239933356804645,200000019.40016717,1.0,0,2fcd1dec802d0dba99c22ca47dd795e8b1f2292af21e232a29057c77ef07e248,0
no_local_edge,twin_informed,88.00333215976775,0.9999999999999968,0.8239933356804645,39.40016716219948,1.0,0,c62837e8497d3022819ab86d334ff0f315aa343d14748c2f21a3db731e148804,0
